REIT名,証券コード,物件名,所在地,用途,取得予定日,取得価格_億円,緯度,経度,出典,属性
星野リゾート・リート投資法人,3287,星のや軽井沢,星のや,ホテル(星のや),既存保有,76,36.3582581,138.5909137,公式ポートフォリオ一覧2026/6/15時点(施設名で個別検索(建物レベル)),ホテル
星野リゾート・リート投資法人,3287,星のや京都,星のや,ホテル(星のや),既存保有,28.78,35.0113079,135.6769726,公式ポートフォリオ一覧2026/6/15時点(施設名で個別検索(建物レベル)),ホテル
星野リゾート・リート投資法人,3287,星のや富士,星のや,ホテル(星のや),既存保有,41.6,35.5253284,138.7450933,公式ポートフォリオ一覧2026/6/15時点(施設名で個別検索(建物レベル)),ホテル
星野リゾート・リート投資法人,3287,星のや竹富島,星のや,ホテル(星のや),既存保有,49.55,24.3231267,124.0959491,公式ポートフォリオ一覧2026/6/15時点(施設名で個別検索(建物レベル)),ホテル
星野リゾート・リート投資法人,3287,星のや沖縄,星のや,ホテル(星のや),既存保有,122.1,26.4203689,127.7148038,公式ポートフォリオ一覧2026/6/15時点(施設名で個別検索(建物レベル)),ホテル
星野リゾート・リート投資法人,3287,リゾナーレ八ヶ岳,リゾナーレ,ホテル(リゾナーレ),既存保有,45,35.869311,138.3272039,公式ポートフォリオ一覧2026/6/15時点(施設名で個別検索(建物レベル)),ホテル
星野リゾート・リート投資法人,3287,リゾナーレ熱海,リゾナーレ,ホテル(リゾナーレ),既存保有,37.5,35.0911443,139.0627164,公式ポートフォリオ一覧2026/6/15時点(施設名で個別検索(建物レベル)),ホテル
星野リゾート・リート投資法人,3287,界 松本,界,ホテル(界),既存保有,6.15,36.2616955,137.9884212,公式ポートフォリオ一覧2026/6/15時点(施設名で個別検索(建物レベル)),ホテル
星野リゾート・リート投資法人,3287,界 玉造,界,ホテル(界),既存保有,6.8,35.4187346,133.0086212,公式ポートフォリオ一覧2026/6/15時点(施設名で個別検索(建物レベル)),ホテル
星野リゾート・リート投資法人,3287,界 伊東,界,ホテル(界),既存保有,6.7,34.9685848,139.0914617,公式ポートフォリオ一覧2026/6/15時点(施設名で個別検索(建物レベル)),ホテル
星野リゾート・リート投資法人,3287,界 箱根,界,ホテル(界),既存保有,9.5,35.2235001,139.0840236,公式ポートフォリオ一覧2026/6/15時点(施設名で個別検索(建物レベル)),ホテル
星野リゾート・リート投資法人,3287,界 鬼怒川,界,ホテル(界),既存保有,30.8,36.8279737,139.7158787,公式ポートフォリオ一覧2026/6/15時点(施設名で個別検索(建物レベル)),ホテル
星野リゾート・リート投資法人,3287,界 加賀,界,ホテル(界),既存保有,31.6,36.288753,136.360931,公式ポートフォリオ一覧2026/6/15時点(施設名で個別検索(建物レベル)),ホテル
星野リゾート・リート投資法人,3287,界 アルプス,界,ホテル(界),既存保有,30.6,36.5315787,137.8076632,公式ポートフォリオ一覧2026/6/15時点(施設名で個別検索(建物レベル)),ホテル
星野リゾート・リート投資法人,3287,界 遠州,界,ホテル(界),既存保有,10.5,34.7621423,137.620581,公式ポートフォリオ一覧2026/6/15時点(施設名で個別検索(建物レベル)),ホテル
星野リゾート・リート投資法人,3287,界 長門,界,ホテル(界),既存保有,27.5,34.3277233,131.1731702,公式ポートフォリオ一覧2026/6/15時点(施設名で個別検索(建物レベル)),ホテル
星野リゾート・リート投資法人,3287,界 霧島,界,ホテル(界),既存保有,39.13,31.7333,130.7667,公式ポートフォリオ一覧2026/6/15時点(都市名からの近似座標),ホテル
星野リゾート・リート投資法人,3287,界 別府,界,ホテル(界),既存保有,73.35,33.279398,131.5076065,公式ポートフォリオ一覧2026/6/15時点(施設名で個別検索(建物レベル)),ホテル
星野リゾート・リート投資法人,3287,界 ポロト,界,ホテル(界),既存保有,30.6,42.5601463,141.3618455,公式ポートフォリオ一覧2026/6/15時点(施設名で個別検索(建物レベル)),ホテル
星野リゾート・リート投資法人,3287,西表島ホテル,星野リゾートその他,ホテル(星野リゾートその他),既存保有,36.5,24.4214657,123.7749705,公式ポートフォリオ一覧2026/6/15時点(施設名で個別検索(建物レベル)),ホテル
星野リゾート・リート投資法人,3287,OMO7高知,星野リゾートその他,ホテル(星野リゾートその他),既存保有,22,33.5574461,133.5493215,公式ポートフォリオ一覧2026/6/15時点(施設名で個別検索(建物レベル)),ホテル
星野リゾート・リート投資法人,3287,BEB5軽井沢,星野リゾートその他,ホテル(星野リゾートその他),既存保有,21.7,36.3561325,138.588623,公式ポートフォリオ一覧2026/6/15時点(施設名で個別検索(建物レベル)),ホテル
星野リゾート・リート投資法人,3287,OMO7大阪,星野リゾートその他,ホテル(星野リゾートその他),既存保有,290,34.6508135,135.5018895,公式ポートフォリオ一覧2026/6/15時点(施設名で個別検索(建物レベル)),ホテル
星野リゾート・リート投資法人,3287,ANAクラウンプラザホテル広島,都市観光,ホテル(都市観光),既存保有,177.84,34.3904452,132.4569381,公式ポートフォリオ一覧2026/6/15時点(施設名で個別検索(建物レベル)),ホテル
星野リゾート・リート投資法人,3287,ANAクラウンプラザホテル金沢,都市観光,ホテル(都市観光),既存保有,66.09,36.5768045,136.6486923,公式ポートフォリオ一覧2026/6/15時点(施設名で個別検索(建物レベル)),ホテル
星野リゾート・リート投資法人,3287,ANAクラウンプラザホテル富山,都市観光,ホテル(都市観光),既存保有,40.08,36.6917494,137.2118118,公式ポートフォリオ一覧2026/6/15時点(施設名で個別検索(建物レベル)),ホテル
星野リゾート・リート投資法人,3287,グランドプリンスホテル大阪ベイ,都市観光,ホテル(都市観光),既存保有,160,34.6362593,135.4162765,公式ポートフォリオ一覧2026/6/15時点(施設名で個別検索(建物レベル)),ホテル
星野リゾート・リート投資法人,3287,the b 赤坂,都市観光,ホテル(都市観光),既存保有,48.6,35.6714763,139.7330338,公式ポートフォリオ一覧2026/6/15時点(施設名で個別検索(建物レベル)),ホテル
星野リゾート・リート投資法人,3287,the b 三軒茶屋,都市観光,ホテル(都市観光),既存保有,44.2,35.6438,139.6706,公式ポートフォリオ一覧2026/6/15時点(都市名からの近似座標),ホテル
星野リゾート・リート投資法人,3287,the b 名古屋,都市観光,ホテル(都市観光),既存保有,45,35.166745,136.9097226,公式ポートフォリオ一覧2026/6/15時点(施設名で個別検索(建物レベル)),ホテル
星野リゾート・リート投資法人,3287,the b 神戸,都市観光,ホテル(都市観光),既存保有,70.2,34.6933125,135.1903053,公式ポートフォリオ一覧2026/6/15時点(施設名で個別検索(建物レベル)),ホテル
星野リゾート・リート投資法人,3287,クインテッサホテル大阪心斎橋,都市観光,ホテル(都市観光),既存保有,33.39,34.6740397,135.5044723,公式ポートフォリオ一覧2026/6/15時点(施設名で個別検索(建物レベル)),ホテル
星野リゾート・リート投資法人,3287,ホテル･アンドルームス大阪本町,都市観光,ホテル(都市観光),既存保有,42.38,34.6864135,135.4973879,公式ポートフォリオ一覧2026/6/15時点(施設名で個別検索(建物レベル)),ホテル
星野リゾート・リート投資法人,3287,ソルヴィータホテル那覇,都市観光,ホテル(都市観光),既存保有,38.6,26.2196622,127.6793503,公式ポートフォリオ一覧2026/6/15時点(施設名で個別検索(建物レベル)),ホテル
星野リゾート・リート投資法人,3287,グランドハイアット福岡,都市観光,ホテル(都市観光),既存保有,77,33.589743,130.4105681,公式ポートフォリオ一覧2026/6/15時点(施設名で個別検索(建物レベル)),ホテル
星野リゾート・リート投資法人,3287,the b 浅草,都市観光,ホテル(都市観光),既存保有,56.3,35.7146258,139.7922602,公式ポートフォリオ一覧2026/6/15時点(施設名で個別検索(建物レベル)),ホテル
星野リゾート・リート投資法人,3287,ホテルビスタ松山,都市観光,ホテル(都市観光),既存保有,19.04,33.8413671,132.7691201,公式ポートフォリオ一覧2026/6/15時点(施設名で個別検索(建物レベル)),ホテル
星野リゾート・リート投資法人,3287,コンフォートイン 塩尻北インター,その他,ホテル(その他),既存保有,6.72,36.1675272,137.9539334,公式ポートフォリオ一覧2026/6/15時点(施設名で個別検索(建物レベル)),ホテル
星野リゾート・リート投資法人,3287,コンフォートイン 佐野藤岡インター,その他,ホテル(その他),既存保有,7.42,36.2965591,139.5998344,公式ポートフォリオ一覧2026/6/15時点(施設名で個別検索(建物レベル)),ホテル
星野リゾート・リート投資法人,3287,コンフォートイン 諏訪インター,その他,ホテル(その他),既存保有,6.58,36.0405,138.1128,公式ポートフォリオ一覧2026/6/15時点(都市名からの近似座標),ホテル
星野リゾート・リート投資法人,3287,コンフォートイン 豊川インター,その他,ホテル(その他),既存保有,6.02,34.8266,137.3917,公式ポートフォリオ一覧2026/6/15時点(都市名からの近似座標),ホテル
星野リゾート・リート投資法人,3287,コンフォートイン 鳥栖,その他,ホテル(その他),既存保有,5.04,33.3778,130.5069,公式ポートフォリオ一覧2026/6/15時点(都市名からの近似座標),ホテル
星野リゾート・リート投資法人,3287,コンフォートイン 千葉浜野R16,その他,ホテル(その他),既存保有,7.98,35.5544,140.0997,公式ポートフォリオ一覧2026/6/15時点(都市名からの近似座標),ホテル
星野リゾート・リート投資法人,3287,コンフォートイン 熊本御幸笛田,その他,ホテル(その他),既存保有,6.16,32.8032,130.7079,公式ポートフォリオ一覧2026/6/15時点(都市名からの近似座標),ホテル
星野リゾート・リート投資法人,3287,コンフォートイン 宇都宮鹿沼,その他,ホテル(その他),既存保有,7.14,36.5551,139.7433,公式ポートフォリオ一覧2026/6/15時点(都市名からの近似座標),ホテル
星野リゾート・リート投資法人,3287,コンフォートイン 福井,その他,ホテル(その他),既存保有,6.44,36.0652,136.2216,公式ポートフォリオ一覧2026/6/15時点(都市名からの近似座標),ホテル
星野リゾート・リート投資法人,3287,コンフォートイン 福島西インター,その他,ホテル(その他),既存保有,6.72,37.7608,140.4194,公式ポートフォリオ一覧2026/6/15時点(都市名からの近似座標),ホテル
星野リゾート・リート投資法人,3287,コンフォートイン 新潟中央インター,その他,ホテル(その他),既存保有,6.3,37.9161,139.0364,公式ポートフォリオ一覧2026/6/15時点(都市名からの近似座標),ホテル
星野リゾート・リート投資法人,3287,コンフォートイン 長崎空港,その他,ホテル(その他),既存保有,6.3,32.9169,129.9136,公式ポートフォリオ一覧2026/6/15時点(都市名からの近似座標),ホテル
星野リゾート・リート投資法人,3287,コンフォートイン ひたちなか,その他,ホテル(その他),既存保有,7.42,36.3958,140.5342,公式ポートフォリオ一覧2026/6/15時点(都市名からの近似座標),ホテル
星野リゾート・リート投資法人,3287,コンフォートイン 土浦阿見,その他,ホテル(その他),既存保有,7.7,36.0642,140.2028,公式ポートフォリオ一覧2026/6/15時点(都市名からの近似座標),ホテル
星野リゾート・リート投資法人,3287,コンフォートイン 甲府石和,その他,ホテル(その他),既存保有,6.58,35.6739,138.6497,公式ポートフォリオ一覧2026/6/15時点(都市名からの近似座標),ホテル
星野リゾート・リート投資法人,3287,コンフォートイン 善通寺インター,その他,ホテル(その他),既存保有,5.88,34.2333,133.7667,公式ポートフォリオ一覧2026/6/15時点(都市名からの近似座標),ホテル
星野リゾート・リート投資法人,3287,コンフォートイン 宗像,その他,ホテル(その他),既存保有,5.04,33.8092,130.5361,公式ポートフォリオ一覧2026/6/15時点(都市名からの近似座標),ホテル
星野リゾート・リート投資法人,3287,コンフォートイン 一関インター,その他,ホテル(その他),既存保有,7,38.9314,141.1289,公式ポートフォリオ一覧2026/6/15時点(都市名からの近似座標),ホテル
星野リゾート・リート投資法人,3287,コンフォートイン 軽井沢,その他,ホテル(その他),既存保有,8.12,36.3487,138.6339,公式ポートフォリオ一覧2026/6/15時点(都市名からの近似座標),ホテル
星野リゾート・リート投資法人,3287,コンフォートイン 姫路夢前橋,その他,ホテル(その他),既存保有,6.16,34.8506,134.6122,公式ポートフォリオ一覧2026/6/15時点(都市名からの近似座標),ホテル
星野リゾート・リート投資法人,3287,コンフォートイン 倉敷水島,その他,ホテル(その他),既存保有,7.28,34.5183,133.7411,公式ポートフォリオ一覧2026/6/15時点(都市名からの近似座標),ホテル
星野リゾート・リート投資法人,3287,コンフォートイン鹿児島谷山,その他,ホテル(その他),既存保有,19.95,31.5342,130.5225,公式ポートフォリオ一覧2026/6/15時点(都市名からの近似座標),ホテル
星野リゾート・リート投資法人,3287,コンフォートイン新潟亀田,その他,ホテル(その他),既存保有,4.22,37.8756,139.1372,公式ポートフォリオ一覧2026/6/15時点(都市名からの近似座標),ホテル
星野リゾート・リート投資法人,3287,カンデオホテルズ半田,その他,ホテル(その他),既存保有,6.2,34.8931,136.9319,公式ポートフォリオ一覧2026/6/15時点(都市名からの近似座標),ホテル
星野リゾート・リート投資法人,3287,カンデオホテルズ茅野,その他,ホテル(その他),既存保有,7.93,35.9772,138.1522,公式ポートフォリオ一覧2026/6/15時点(都市名からの近似座標),ホテル
星野リゾート・リート投資法人,3287,カンデオホテルズ福山,その他,ホテル(その他),既存保有,10.75,34.4858,133.3625,公式ポートフォリオ一覧2026/6/15時点(都市名からの近似座標),ホテル
星野リゾート・リート投資法人,3287,カンデオホテルズ佐野,その他,ホテル(その他),既存保有,12.6,36.3147,139.5789,公式ポートフォリオ一覧2026/6/15時点(都市名からの近似座標),ホテル
星野リゾート・リート投資法人,3287,カンデオホテルズ亀山,その他,ホテル(その他),既存保有,4.7,34.8556,136.4531,公式ポートフォリオ一覧2026/6/15時点(都市名からの近似座標),ホテル
星野リゾート・リート投資法人,3287,コンフォートホテル函館,その他,ホテル(その他),既存保有,9.37,41.7687,140.7288,公式ポートフォリオ一覧2026/6/15時点(都市名からの近似座標),ホテル
星野リゾート・リート投資法人,3287,コンフォートホテル苫小牧,その他,ホテル(その他),既存保有,9.63,42.6339,141.6053,公式ポートフォリオ一覧2026/6/15時点(都市名からの近似座標),ホテル
星野リゾート・リート投資法人,3287,コンフォートホテル呉,その他,ホテル(その他),既存保有,11,34.2492,132.5656,公式ポートフォリオ一覧2026/6/15時点(都市名からの近似座標),ホテル
星野リゾート・リート投資法人,3287,コンフォートホテル高松,その他,ホテル(その他),既存保有,20.5,34.3401,134.0434,公式ポートフォリオ一覧2026/6/15時点(都市名からの近似座標),ホテル
星野リゾート・リート投資法人,3287,ホテルWBFグランデ旭川,その他,ホテル(その他),既存保有,30,43.7706,142.365,公式ポートフォリオ一覧2026/6/15時点(都市名からの近似座標),ホテル
星野リゾート・リート投資法人,3287,アクアイグニス/湯の山 素粋居,その他,ホテル(その他),既存保有,59.53,34.9525,136.4183,公式ポートフォリオ一覧2026/6/15時点(都市名からの近似座標),ホテル
大和証券リビング投資法人,8986,サテラ北34条,北海道,賃貸住宅(ワンルーム),既存保有,11.33,43.0618,141.3545,公式ポートフォリオ一覧2026/7/1時点(地域区分レベルの近似座標),住宅
大和証券リビング投資法人,8986,スカイヒルズN15,北海道,賃貸住宅(ワンルーム),既存保有,7.12,43.0618,141.3545,公式ポートフォリオ一覧2026/7/1時点(地域区分レベルの近似座標),住宅
大和証券リビング投資法人,8986,アルファタワー札幌南4条,北海道,賃貸住宅(ワンルーム),既存保有,11.85,43.0618,141.3545,公式ポートフォリオ一覧2026/7/1時点(地域区分レベルの近似座標),住宅
大和証券リビング投資法人,8986,クレジデンス札幌・南4条,北海道,賃貸住宅(ワンルーム),既存保有,11.4,43.0618,141.3545,公式ポートフォリオ一覧2026/7/1時点(地域区分レベルの近似座標),住宅
大和証券リビング投資法人,8986,グランカーサ永山公園通,北海道,賃貸住宅(ワンルーム),既存保有,10.02,43.0618,141.3545,公式ポートフォリオ一覧2026/7/1時点(地域区分レベルの近似座標),住宅
大和証券リビング投資法人,8986,グランカーサ南11条,北海道,賃貸住宅(ワンルーム),既存保有,8.3,43.0618,141.3545,公式ポートフォリオ一覧2026/7/1時点(地域区分レベルの近似座標),住宅
大和証券リビング投資法人,8986,グランカーサ南6条,北海道,賃貸住宅(ワンルーム),既存保有,16.1,43.0618,141.3545,公式ポートフォリオ一覧2026/7/1時点(地域区分レベルの近似座標),住宅
大和証券リビング投資法人,8986,グランカーサ仙台晩翠通,東北,賃貸住宅(ワンルーム),既存保有,12.51,38.2682,140.8694,公式ポートフォリオ一覧2026/7/1時点(地域区分レベルの近似座標),住宅
大和証券リビング投資法人,8986,グランカーサ広瀬通,東北,賃貸住宅(ワンルーム),既存保有,15.85,38.2682,140.8694,公式ポートフォリオ一覧2026/7/1時点(地域区分レベルの近似座標),住宅
大和証券リビング投資法人,8986,グランカーサ一番町,東北,賃貸住宅(ワンルーム),既存保有,9.65,38.2682,140.8694,公式ポートフォリオ一覧2026/7/1時点(地域区分レベルの近似座標),住宅
大和証券リビング投資法人,8986,willDo清澄,東京都23区,賃貸住宅(ワンルーム),既存保有,50.24,35.6762,139.6503,公式ポートフォリオ一覧2026/7/1時点(地域区分レベルの近似座標),住宅
大和証券リビング投資法人,8986,willDo横浜南,関東,賃貸住宅(ワンルーム),既存保有,2.33,35.6895,139.6917,公式ポートフォリオ一覧2026/7/1時点(地域区分レベルの近似座標),住宅
大和証券リビング投資法人,8986,VISTAシュプリーム,関東,賃貸住宅(ワンルーム),既存保有,5.63,35.6895,139.6917,公式ポートフォリオ一覧2026/7/1時点(地域区分レベルの近似座標),住宅
大和証券リビング投資法人,8986,willDo大塚,東京都23区,賃貸住宅(ワンルーム),既存保有,7.25,35.6762,139.6503,公式ポートフォリオ一覧2026/7/1時点(地域区分レベルの近似座標),住宅
大和証券リビング投資法人,8986,東信松涛マンション,東京都23区,賃貸住宅(ワンルーム),既存保有,9.12,35.6762,139.6503,公式ポートフォリオ一覧2026/7/1時点(地域区分レベルの近似座標),住宅
大和証券リビング投資法人,8986,ハーモニー上北沢,東京都23区,賃貸住宅(ワンルーム),既存保有,4,35.6762,139.6503,公式ポートフォリオ一覧2026/7/1時点(地域区分レベルの近似座標),住宅
大和証券リビング投資法人,8986,willDo南浦和,関東,賃貸住宅(ワンルーム),既存保有,3.96,35.6895,139.6917,公式ポートフォリオ一覧2026/7/1時点(地域区分レベルの近似座標),住宅
大和証券リビング投資法人,8986,カレッジスクエア北池袋,東京都23区,賃貸住宅(ワンルーム),既存保有,7.27,35.6762,139.6503,公式ポートフォリオ一覧2026/7/1時点(地域区分レベルの近似座標),住宅
大和証券リビング投資法人,8986,カレッジスクエア東武練馬,東京都23区,賃貸住宅(ワンルーム),既存保有,8.92,35.6762,139.6503,公式ポートフォリオ一覧2026/7/1時点(地域区分レベルの近似座標),住宅
大和証券リビング投資法人,8986,カレッジスクエア赤塚,東京都23区,賃貸住宅(ワンルーム),既存保有,7.34,35.6762,139.6503,公式ポートフォリオ一覧2026/7/1時点(地域区分レベルの近似座標),住宅
大和証券リビング投資法人,8986,カレッジスクエア東久留米,関東,賃貸住宅(ワンルーム),既存保有,5.23,35.6895,139.6917,公式ポートフォリオ一覧2026/7/1時点(地域区分レベルの近似座標),住宅
大和証券リビング投資法人,8986,カレッジスクエア早稲田Ⅱ,東京都23区,賃貸住宅(ワンルーム),既存保有,2.15,35.6762,139.6503,公式ポートフォリオ一覧2026/7/1時点(地域区分レベルの近似座標),住宅
大和証券リビング投資法人,8986,カレッジスクエア茗荷谷,東京都23区,賃貸住宅(ワンルーム),既存保有,10.6,35.6762,139.6503,公式ポートフォリオ一覧2026/7/1時点(地域区分レベルの近似座標),住宅
大和証券リビング投資法人,8986,カレッジスクエア新小岩,東京都23区,賃貸住宅(ワンルーム),既存保有,7.24,35.6762,139.6503,公式ポートフォリオ一覧2026/7/1時点(地域区分レベルの近似座標),住宅
大和証券リビング投資法人,8986,カレッジスクエア木場,東京都23区,賃貸住宅(ワンルーム),既存保有,6.39,35.6762,139.6503,公式ポートフォリオ一覧2026/7/1時点(地域区分レベルの近似座標),住宅
大和証券リビング投資法人,8986,カレッジスクエア錦糸町,東京都23区,賃貸住宅(ワンルーム),既存保有,4.9,35.6762,139.6503,公式ポートフォリオ一覧2026/7/1時点(地域区分レベルの近似座標),住宅
大和証券リビング投資法人,8986,カレッジスクエア早稲田,東京都23区,賃貸住宅(ワンルーム),既存保有,3.16,35.6762,139.6503,公式ポートフォリオ一覧2026/7/1時点(地域区分レベルの近似座標),住宅
大和証券リビング投資法人,8986,レキシントン・スクエア新宿御苑,東京都23区,賃貸住宅(ワンルーム),既存保有,10.1,35.6762,139.6503,公式ポートフォリオ一覧2026/7/1時点(地域区分レベルの近似座標),住宅
大和証券リビング投資法人,8986,プロスペクト日本橋本町,東京都23区,賃貸住宅(ワンルーム),既存保有,8.08,35.6762,139.6503,公式ポートフォリオ一覧2026/7/1時点(地域区分レベルの近似座標),住宅
大和証券リビング投資法人,8986,メゾン・ド・ヴィレ高輪魚らん坂,東京都23区,賃貸住宅(ワンルーム),既存保有,14.8,35.6762,139.6503,公式ポートフォリオ一覧2026/7/1時点(地域区分レベルの近似座標),住宅
大和証券リビング投資法人,8986,六本木ライズハウス,東京都23区,賃貸住宅(ワンルーム),既存保有,9.12,35.6762,139.6503,公式ポートフォリオ一覧2026/7/1時点(地域区分レベルの近似座標),住宅
大和証券リビング投資法人,8986,TKフラッツ渋谷,東京都23区,賃貸住宅(ワンルーム),既存保有,47.7,35.6762,139.6503,公式ポートフォリオ一覧2026/7/1時点(地域区分レベルの近似座標),住宅
大和証券リビング投資法人,8986,メゾン・ド・ヴィレ中目黒,東京都23区,賃貸住宅(ワンルーム),既存保有,10.5,35.6762,139.6503,公式ポートフォリオ一覧2026/7/1時点(地域区分レベルの近似座標),住宅
大和証券リビング投資法人,8986,プロスペクトKALON三ノ輪,東京都23区,賃貸住宅(ワンルーム),既存保有,16.2,35.6762,139.6503,公式ポートフォリオ一覧2026/7/1時点(地域区分レベルの近似座標),住宅
大和証券リビング投資法人,8986,プロスペクト東雲橋,東京都23区,賃貸住宅(ワンルーム),既存保有,30.4,35.6762,139.6503,公式ポートフォリオ一覧2026/7/1時点(地域区分レベルの近似座標),住宅
大和証券リビング投資法人,8986,プロスペクト門前仲町,東京都23区,賃貸住宅(ワンルーム),既存保有,10.8,35.6762,139.6503,公式ポートフォリオ一覧2026/7/1時点(地域区分レベルの近似座標),住宅
大和証券リビング投資法人,8986,プロスペクト荻窪,東京都23区,賃貸住宅(ワンルーム),既存保有,7.01,35.6762,139.6503,公式ポートフォリオ一覧2026/7/1時点(地域区分レベルの近似座標),住宅
大和証券リビング投資法人,8986,エクセリア池袋WESTⅡ,東京都23区,賃貸住宅(ワンルーム),既存保有,8.52,35.6762,139.6503,公式ポートフォリオ一覧2026/7/1時点(地域区分レベルの近似座標),住宅
大和証券リビング投資法人,8986,プロスペクト大森海岸,東京都23区,賃貸住宅(ワンルーム),既存保有,14.8,35.6762,139.6503,公式ポートフォリオ一覧2026/7/1時点(地域区分レベルの近似座標),住宅
大和証券リビング投資法人,8986,プロスペクト武蔵新城,関東,賃貸住宅(ワンルーム),既存保有,10.5,35.6895,139.6917,公式ポートフォリオ一覧2026/7/1時点(地域区分レベルの近似座標),住宅
大和証券リビング投資法人,8986,フレグランス川崎,関東,賃貸住宅(ワンルーム),既存保有,5.48,35.6895,139.6917,公式ポートフォリオ一覧2026/7/1時点(地域区分レベルの近似座標),住宅
大和証券リビング投資法人,8986,プロスペクト中央林間,関東,賃貸住宅(ワンルーム),既存保有,5.24,35.6895,139.6917,公式ポートフォリオ一覧2026/7/1時点(地域区分レベルの近似座標),住宅
大和証券リビング投資法人,8986,ガーラプレイス新宿御苑,東京都23区,賃貸住宅(ワンルーム),既存保有,21.7,35.6762,139.6503,公式ポートフォリオ一覧2026/7/1時点(地域区分レベルの近似座標),住宅
大和証券リビング投資法人,8986,ジョイスコート,東京都23区,賃貸住宅(ワンルーム),既存保有,30.1,35.6762,139.6503,公式ポートフォリオ一覧2026/7/1時点(地域区分レベルの近似座標),住宅
大和証券リビング投資法人,8986,グランカーサ浅草,東京都23区,賃貸住宅(ワンルーム),既存保有,12.16,35.6762,139.6503,公式ポートフォリオ一覧2026/7/1時点(地域区分レベルの近似座標),住宅
大和証券リビング投資法人,8986,グランカーサ六本木,東京都23区,賃貸住宅(ワンルーム),既存保有,14.8,35.6762,139.6503,公式ポートフォリオ一覧2026/7/1時点(地域区分レベルの近似座標),住宅
大和証券リビング投資法人,8986,グランカーサ南青山,東京都23区,賃貸住宅(ワンルーム),既存保有,37.5,35.6762,139.6503,公式ポートフォリオ一覧2026/7/1時点(地域区分レベルの近似座標),住宅
大和証券リビング投資法人,8986,ストーリア神宮前,東京都23区,賃貸住宅(ワンルーム),既存保有,31.6,35.6762,139.6503,公式ポートフォリオ一覧2026/7/1時点(地域区分レベルの近似座標),住宅
大和証券リビング投資法人,8986,グランカーサ新宿御苑,東京都23区,賃貸住宅(ワンルーム),既存保有,25.25,35.6762,139.6503,公式ポートフォリオ一覧2026/7/1時点(地域区分レベルの近似座標),住宅
大和証券リビング投資法人,8986,リエトコート四谷,東京都23区,賃貸住宅(ワンルーム),既存保有,17.16,35.6762,139.6503,公式ポートフォリオ一覧2026/7/1時点(地域区分レベルの近似座標),住宅
大和証券リビング投資法人,8986,リエトコート元赤坂,東京都23区,賃貸住宅(ワンルーム),既存保有,10.95,35.6762,139.6503,公式ポートフォリオ一覧2026/7/1時点(地域区分レベルの近似座標),住宅
大和証券リビング投資法人,8986,グランカーサ銀座イースト,東京都23区,賃貸住宅(ワンルーム),既存保有,20,35.6762,139.6503,公式ポートフォリオ一覧2026/7/1時点(地域区分レベルの近似座標),住宅
大和証券リビング投資法人,8986,グランカーサ三ノ輪,東京都23区,賃貸住宅(ワンルーム),既存保有,8.5,35.6762,139.6503,公式ポートフォリオ一覧2026/7/1時点(地域区分レベルの近似座標),住宅
大和証券リビング投資法人,8986,グランカーサ本駒込,東京都23区,賃貸住宅(ワンルーム),既存保有,15,35.6762,139.6503,公式ポートフォリオ一覧2026/7/1時点(地域区分レベルの近似座標),住宅
大和証券リビング投資法人,8986,グランカーサ浦安,関東,賃貸住宅(ワンルーム),既存保有,8.86,35.6895,139.6917,公式ポートフォリオ一覧2026/7/1時点(地域区分レベルの近似座標),住宅
大和証券リビング投資法人,8986,グランカーサ日本橋浜町,東京都23区,賃貸住宅(ワンルーム),既存保有,9.3,35.6762,139.6503,公式ポートフォリオ一覧2026/7/1時点(地域区分レベルの近似座標),住宅
大和証券リビング投資法人,8986,グランカーサ馬込Ⅰ,東京都23区,賃貸住宅(ワンルーム),既存保有,6.02,35.6762,139.6503,公式ポートフォリオ一覧2026/7/1時点(地域区分レベルの近似座標),住宅
大和証券リビング投資法人,8986,グランカーサ大森海岸,東京都23区,賃貸住宅(ワンルーム),既存保有,11.19,35.6762,139.6503,公式ポートフォリオ一覧2026/7/1時点(地域区分レベルの近似座標),住宅
大和証券リビング投資法人,8986,グランカーサ上野池之端,東京都23区,賃貸住宅(ワンルーム),既存保有,14.2,35.6762,139.6503,公式ポートフォリオ一覧2026/7/1時点(地域区分レベルの近似座標),住宅
大和証券リビング投資法人,8986,グランカーサ住吉,東京都23区,賃貸住宅(ワンルーム),既存保有,11.4,35.6762,139.6503,公式ポートフォリオ一覧2026/7/1時点(地域区分レベルの近似座標),住宅
大和証券リビング投資法人,8986,グランカーサ上野入谷,東京都23区,賃貸住宅(ワンルーム),既存保有,12.25,35.6762,139.6503,公式ポートフォリオ一覧2026/7/1時点(地域区分レベルの近似座標),住宅
大和証券リビング投資法人,8986,グランカーサ門前仲町,東京都23区,賃貸住宅(ワンルーム),既存保有,7.8,35.6762,139.6503,公式ポートフォリオ一覧2026/7/1時点(地域区分レベルの近似座標),住宅
大和証券リビング投資法人,8986,グランカーサ馬込Ⅱ,東京都23区,賃貸住宅(ワンルーム),既存保有,7,35.6762,139.6503,公式ポートフォリオ一覧2026/7/1時点(地域区分レベルの近似座標),住宅
大和証券リビング投資法人,8986,グランカーサ板橋EAST,東京都23区,賃貸住宅(ワンルーム),既存保有,9.55,35.6762,139.6503,公式ポートフォリオ一覧2026/7/1時点(地域区分レベルの近似座標),住宅
